
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
43,1964,1,1964-09-13,32-127,BOS,@,OAK,W 17-14,,0,0,,0,0,0,,,,1,-2,-2.00,0,,0,0,,0,0,0,6,264,44.00,0
44,1964,2,1964-09-20,32-134,BOS,@,SDG,W 33-28,,0,0,,0,0,0,,,,2,1,0.50,0,,0,0,,0,0,0,4,168,42.00,0
45,1964,3,1964-09-27,32-141,BOS,,NYJ,W 26-10,,0,0,,0,0,0,,,,1,1,1.00,0,,0,0,,0,0,0,8,270,33.75,1
46,1964,4,1964-10-04,32-148,BOS,@,DEN,W 39-10,,1,1,100.00,2,0,0,79.2,2.00,2.00,1,2,2.00,0,,0,0,,0,0,0,3,117,39.00,0
47,1964,5,1964-10-09,32-153,BOS,,SDG,L 17-26,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,4,137,34.25,0
48,1964,6,1964-10-16,32-160,BOS,,OAK,T 43-43,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,2,79,39.50,0
49,1964,7,1964-10-23,32-167,BOS,,KAN,W 24-7,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,277,34.63,0
50,1964,8,1964-10-31,32-175,BOS,@,NYJ,L 14-35,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,5,201,40.20,0
51,1964,9,1964-11-06,32-181,BOS,,HOU,W 25-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,5,206,41.20,0
52,1964,10,1964-11-15,32-190,BOS,@,BUF,W 36-28,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,10,417,41.70,0
53,1964,11,1964-11-20,32-195,BOS,,DEN,W 12-7,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,4,155,38.75,0
54,1964,12,1964-11-29,32-204,BOS,@,HOU,W 34-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,7,258,36.86,0
55,1964,13,1964-12-06,32-211,BOS,@,KAN,W 31-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,7,228,32.57,0
