
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
66,1969,6,1969-10-20,28-063,NYJ,,HOU,W 26-17,22,92,4.18,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
67,1969,7,1969-10-26,28-069,NYJ,,BOS,W 23-17,23,109,4.74,1,,2,13,6.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
68,1969,8,1969-11-02,28-076,NYJ,,MIA,W 34-31,15,42,2.80,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
69,1969,9,1969-11-09,28-083,NYJ,,BUF,W 16-6,18,52,2.89,0,,2,24,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
70,1969,10,1969-11-16,28-090,NYJ,,KAN,L 16-34,8,27,3.38,0,,2,21,10.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
71,1969,11,1969-11-23,28-097,NYJ,,CIN,W 40-7,15,60,4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
72,1969,12,1969-11-30,28-104,NYJ,,OAK,L 14-27,8,31,3.88,0,,2,6,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
73,1969,13,1969-12-06,28-110,NYJ,@,HOU,W 34-26,14,38,2.71,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
74,1969,14,1969-12-14,28-118,NYJ,@,MIA,W 27-9,2,4,2.00,0,,2,4,2.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
75,1970,1,1970-09-21,29-034,NYJ,@,CLE,L 21-31,16,108,6.75,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
76,1970,2,1970-09-27,29-040,NYJ,@,BOS,W 31-21,26,85,3.27,1,,1,27,27.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
77,1970,3,1970-10-04,29-047,NYJ,@,BUF,L 31-34,22,88,4.00,0,,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
78,1972,2,1972-09-24,31-037,NYJ,@,BAL,W 44-34,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,14,14.00,0,0,0
,,,78 Games,,,,,40-34-4,1056,4285,4.06,24,,193,1375,7.12,7,1,3,33.33,26,0,1,26.4,8.67,-6.33,11,200,18.18,0,31,186
