
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
42,1993,2,1993-09-12,25-340,NYJ,@,MIA,W 24-14,10,29,2.90,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
43,1993,3,1993-09-26,25-354,NYJ,,NWE,W 45-7,10,44,4.40,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
44,1993,4,1993-10-03,25-361,NYJ,,PHI,L 30-35,7,33,4.71,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
45,1993,5,1993-10-10,26-003,NYJ,@,RAI,L 20-24,5,13,2.60,1,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
46,1993,11,1993-11-28,26-052,NYJ,@,NWE,W 6-0,5,22,4.40,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
47,1993,12,1993-12-05,26-059,NYJ,,IND,L 6-9,10,31,3.10,0,5,3,16,5.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
48,1993,13,1993-12-11,26-065,NYJ,@,WAS,W 3-0,1,3,3.00,0,1,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
49,1993,14,1993-12-18,26-072,NYJ,,DAL,L 7-28,1,5,5.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
50,1993,15,1993-12-26,26-080,NYJ,@,BUF,L 14-16,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
51,1993,16,1994-01-02,26-087,NYJ,@,HOU,L 0-24,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0,,,,2,39,19.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
52,1994,3,1994-09-18,26-346,NWE,@,CIN,W 31-28,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,1,8,8.00,0,0,0
53,1994,5,1994-10-02,26-360,NWE,,GNB,W 17-16,2,5,2.50,0,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
54,1994,7,1994-10-16,27-009,NWE,@,NYJ,L 17-24,14,63,4.50,1,2,1,9,9.00,0,0,0,,0,0,0,,,,2,32,16.00,0,1,6
55,1994,8,1994-10-30,27-023,NWE,,MIA,L 3-23,3,-1,-0.33,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
56,1994,15,1994-12-19,27-073,DAL,@,NOR,W 24-16,6,7,1.17,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
57,1994,16,1994-12-24,27-078,DAL,@,NYG,L 10-15,18,63,3.50,1,2,2,1,0.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
58,1995,10,1995-11-12,28-036,CAR,@,STL,L 17-28,1,8,8.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
59,1995,11,1995-11-19,28-043,CAR,,ARI,W 27-7,13,67,5.15,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
60,1995,12,1995-11-26,28-050,CAR,@,NOR,L 26-34,5,4,0.80,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
61,1995,13,1995-12-03,28-057,CAR,,IND,W 13-10,0,0,,0,2,2,19,9.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
62,1995,14,1995-12-10,28-064,CAR,,SFO,L 10-31,1,8,8.00,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
63,1995,15,1995-12-17,28-071,CAR,,ATL,W 21-17,0,0,,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
64,1995,16,1995-12-24,28-078,CAR,@,WAS,L 17-20,2,3,1.50,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,64 Games,,,,,25-39-0,533,2236,4.20,7,31,71,513,7.23,2,1,1,100.00,16,1,0,158.3,16.00,36.00,5,79,15.80,0,9,54
