
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
63,1999,16,2000-01-02,26-012,TAM,@,CHI,W 20-6,22,64,2.91,1,5,4,19,4.75,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
64,2000,1,2000-09-03,26-257,TAM,@,NWE,W 21-16,16,54,3.38,2,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,2,12
65,2000,2,2000-09-10,26-264,TAM,,CHI,W 41-0,15,71,4.73,1,2,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
66,2000,3,2000-09-17,26-271,TAM,@,DET,W 31-10,21,68,3.24,1,1,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
67,2000,4,2000-09-24,26-278,TAM,,NYJ,L 17-21,16,60,3.75,0,1,1,21,21.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
68,2000,5,2000-10-01,26-285,TAM,@,WAS,L 17-20,15,46,3.07,1,1,1,12,12.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
69,2000,6,2000-10-09,26-293,TAM,@,MIN,L 23-30,6,10,1.67,0,3,2,24,12.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
70,2000,7,2000-10-19,26-303,TAM,,DET,L 14-28,6,30,5.00,0,2,2,6,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
71,2000,8,2000-10-29,26-313,TAM,,MIN,W 41-13,10,56,5.60,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
72,2000,9,2000-11-05,26-320,TAM,@,ATL,W 27-14,10,20,2.00,0,2,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
73,2000,10,2000-11-12,26-327,TAM,,GNB,W 20-15,9,38,4.22,0,4,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
74,2000,11,2000-11-19,26-334,TAM,@,CHI,L 10-13,2,3,1.50,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
75,2000,15,2000-12-18,26-363,TAM,,STL,W 38-35,3,2,0.67,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
76,2000,16,2000-12-24,27-003,TAM,@,GNB,L 14-17,2,7,3.50,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
77,2001,1,2001-09-09,27-262,TAM,@,DAL,W 10-6,5,12,2.40,0,6,4,15,3.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
78,2001,2,2001-09-30,27-283,TAM,@,MIN,L 16-20,3,24,8.00,0,4,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
