
22,1972,1,1972-09-17,26-333,CHI,,ATL,L 21-37,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,35,0,0,0,,0
23,1972,2,1972-09-24,26-340,CHI,,RAM,T 13-13,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,17,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
24,1973,2,1973-09-23,27-338,CHI,,MIN,L 13-22,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,9,0,0,0,,0
25,1973,7,1973-10-28,28-008,CHI,,HOU,W 35-14,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0,0,0,,0
26,1973,8,1973-11-04,28-015,CHI,@,GNB,W 31-17,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,23,0,0,0,,0
27,1973,9,1973-11-12,28-023,CHI,@,KAN,L 7-19,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,,0
28,1973,10,1973-11-18,28-029,CHI,,DET,L 7-30,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,24,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD,Pnt,Yds,Y/P,Blck
29,1974,5,1974-10-13,28-358,CHI,@,ATL,L 10-13,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0,0,0,,0
30,1974,6,1974-10-21,29-001,CHI,,GNB,W 10-9,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,36,0,0,0,,0
31,1974,10,1974-11-17,29-028,CHI,,SFO,L 0-34,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,21,0,0,0,,0
,,,31 Games,,,,,9-21-1,,7,48,6.86,0,4,28,7.00,0,11,248,22.55,0,22,120,5.45,0,12,210,0,5,163,32.60,0
