
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
40,1995,8,1995-10-22,24-245,DEN,,KAN,L 7-21,0,0,,0,0,0,0,,0,2,47,23.50,0,2,51,25.50,0,0,0
41,1995,9,1995-11-05,24-259,DEN,,ARI,W 38-6,3,15,5.00,0,0,0,0,,0,2,70,35.00,0,2,17,8.50,0,0,0
42,1995,10,1995-11-12,24-266,DEN,@,PHI,L 13-31,2,30,15.00,0,4,4,23,5.75,0,5,140,28.00,0,0,0,,0,0,0
43,1995,11,1995-11-19,24-273,DEN,,SDG,W 30-27,0,0,,0,0,0,0,,0,4,177,44.25,0,2,20,10.00,0,0,0
44,1995,12,1995-11-26,24-280,DEN,@,HOU,L 33-42,1,5,5.00,0,0,0,0,,0,7,178,25.43,0,0,0,,0,0,0
45,1995,13,1995-12-03,24-287,DEN,,JAX,W 31-23,0,0,,0,0,0,0,,0,1,18,18.00,0,3,25,8.33,0,0,0
46,1995,14,1995-12-10,24-294,DEN,,SEA,L 27-31,18,131,7.28,0,6,5,45,9.00,0,5,133,26.60,0,5,95,19.00,0,0,0
47,1995,15,1995-12-17,24-301,DEN,@,KAN,L 17-20,10,33,3.30,0,7,5,47,9.40,0,1,29,29.00,0,1,5,5.00,0,0,0
48,1995,16,1995-12-24,24-308,DEN,@,OAK,W 31-28,6,12,2.00,0,1,1,23,23.00,0,4,87,21.75,0,3,28,9.33,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
49,1996,1,1996-09-01,25-195,DET,@,MIN,L 13-17,0,0,,0,0,0,0,,0,3,82,27.33,0,4,38,9.50,0,0,0
50,1996,2,1996-09-08,25-202,DET,,TAM,W 21-6,0,0,,0,0,0,0,,0,3,74,24.67,0,3,15,5.00,0,0,0
51,1996,3,1996-09-15,25-209,DET,@,PHI,L 17-24,0,0,,0,0,0,0,,0,4,115,28.75,0,2,16,8.00,0,0,0
52,1996,4,1996-09-22,25-216,DET,,CHI,W 35-16,0,0,,0,0,0,0,,0,3,69,23.00,0,2,18,9.00,0,0,0
53,1996,5,1996-09-29,25-223,DET,@,TAM,W 27-0,0,0,,0,1,0,0,,0,1,24,24.00,0,1,13,13.00,0,0,0
54,1996,6,1996-10-06,25-230,DET,,ATL,W 28-24,0,0,,0,0,0,0,,0,2,42,21.00,0,4,51,12.75,0,0,0
55,1996,7,1996-10-13,25-237,DET,@,OAK,L 21-37,0,0,,0,0,0,0,,0,5,119,23.80,0,3,17,5.67,0,0,0
56,1996,8,1996-10-27,25-251,DET,,NYG,L 7-35,0,0,,0,0,0,0,,0,4,143,35.75,0,3,30,10.00,0,0,0
57,1996,9,1996-11-03,25-258,DET,@,GNB,L 18-28,0,0,,0,0,0,0,,0,5,110,22.00,0,0,0,,0,0,0
58,1996,10,1996-11-11,25-266,DET,@,SDG,L 21-27,0,0,,0,0,0,0,,0,5,148,29.60,0,2,26,13.00,0,0,0
59,1996,11,1996-11-17,25-272,DET,,SEA,W 17-16,0,0,,0,0,0,0,,0,5,145,29.00,0,1,20,20.00,0,0,0
60,1996,12,1996-11-24,25-279,DET,@,CHI,L 14-31,0,0,,0,0,0,0,,0,5,103,20.60,0,1,-1,-1.00,0,0,0
61,1996,13,1996-11-28,25-283,DET,,KAN,L 24-28,0,0,,0,0,0,0,,0,5,113,22.60,0,2,14,7.00,0,0,0
62,1996,14,1996-12-08,25-293,DET,,MIN,L 22-24,0,0,,0,0,0,0,,0,3,130,43.33,0,1,2,2.00,0,0,0
63,1996,15,1996-12-15,25-300,DET,,GNB,L 3-31,0,0,,0,0,0,0,,0,6,140,23.33,0,2,15,7.50,0,0,0
