
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
15,1971,2,1971-09-26,24-220,PHI,,DAL,L 7-42,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,1,17,0
16,1971,6,1971-10-24,24-248,PHI,,NYG,W 23-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,1,0,0
17,1971,10,1971-11-21,24-276,PHI,@,STL,W 37-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,1,10,0
18,1971,13,1971-12-12,24-297,PHI,,STL,W 19-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,2,0,0
19,1971,14,1971-12-19,24-304,PHI,@,NYG,W 41-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,1,4,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
20,1972,7,1972-10-29,25-254,PHI,@,NOR,L 3-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,1,0,0
21,1972,14,1972-12-17,25-303,PHI,@,STL,L 23-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,1,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
22,1973,8,1973-11-04,26-259,KAN,@,SDG,W 19-0,2,1,0.50,0,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,0,0
23,1973,10,1973-11-18,26-273,KAN,,HOU,W 38-14,0,0,,0,,1,-6,-6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,0
,,,23 Games,,,,,10-12-1,125,369,2.95,3,,30,270,9.00,0,1,3,33.33,14,0,0,49.3,4.67,4.67,9,200,22.22,0,3,18,8,31,0
