
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
34,1963,14,1963-12-22,24-228,SDG,,DEN,W 58-20,10,66,6.60,1,,1,19,19.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
35,1964,1,1964-09-12,25-127,SDG,,HOU,W 27-21,10,52,5.20,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
36,1964,2,1964-09-20,25-135,SDG,,BOS,L 28-33,12,29,2.42,0,,2,22,11.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,0
37,1964,3,1964-09-26,25-141,SDG,@,BUF,L 3-30,21,94,4.48,0,,2,21,10.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
38,1964,4,1964-10-03,25-148,SDG,@,NYJ,T 17-17,8,26,3.25,0,,6,94,15.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
39,1964,5,1964-10-09,25-154,SDG,@,BOS,W 26-17,10,28,2.80,0,,3,-1,-0.33,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
40,1964,6,1964-10-18,25-163,SDG,,DEN,W 42-14,6,35,5.83,2,,2,10,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,2,12
41,1964,7,1964-10-25,25-170,SDG,@,HOU,W 20-17,12,65,5.42,0,,3,29,9.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
42,1964,8,1964-11-01,25-177,SDG,,OAK,W 31-17,10,44,4.40,2,,3,17,5.67,0,1,1,100.00,8,0,0,100.0,8.00,8.00,0,0,,0,0,0,,0,,,,,,,2,12
43,1964,9,1964-11-08,25-184,SDG,@,DEN,W 31-20,20,100,5.00,0,,1,2,2.00,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,1,6
44,1964,10,1964-11-15,25-191,SDG,@,KAN,W 28-14,20,35,1.75,0,,4,29,7.25,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,4,4,100.0,,1,0.0,0,4
45,1964,11,1964-11-26,25-202,SDG,,BUF,L 24-27,8,34,4.25,0,,3,32,10.67,0,1,1,100.00,53,1,0,158.3,53.00,73.00,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
46,1964,12,1964-12-06,25-212,SDG,,NYJ,W 38-3,13,42,3.23,0,,4,45,11.25,1,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,5,5,100.0,1,2,50.0,1,14
47,1964,13,1964-12-13,25-219,SDG,,KAN,L 6-49,5,48,9.60,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,1,0.0,,,,0,0
48,1964,14,1964-12-20,25-226,SDG,@,OAK,L 20-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,0,8
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
