
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
63,2006,5,2006-10-15,26-318,SEA,@,STL,W 30-28,23,74,3.22,0,2,2,6,3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
64,2006,6,2006-10-22,26-325,SEA,,MIN,L 13-31,17,49,2.88,0,5,2,9,4.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
65,2006,7,2006-10-29,26-332,SEA,@,KAN,L 28-35,12,25,2.08,0,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
66,2006,8,2006-11-06,26-340,SEA,,OAK,W 16-0,30,138,4.60,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
67,2006,9,2006-11-12,26-346,SEA,,STL,W 24-22,21,124,5.90,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
68,2006,10,2006-11-19,26-353,SEA,@,SFO,L 14-20,2,12,6.00,0,1,1,-7,-7.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
69,2006,11,2006-11-27,26-361,SEA,,GNB,W 34-24,3,6,2.00,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
70,2006,12,2006-12-03,27-002,SEA,@,DEN,W 23-20,3,7,2.33,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
71,2006,13,2006-12-10,27-009,SEA,@,ARI,L 21-27,4,12,3.00,0,2,1,-5,-5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
72,2006,14,2006-12-14,27-013,SEA,,SFO,L 14-24,2,14,7.00,0,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
