
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
35,1963,1,1963-09-15,32-073,CHI,@,GNB,W 10-3,5,27,5.40,0,,4,11,2.75,0,0,0,,0,0,0,,,,1,10,10.00,0,0,0,0,0,,0
36,1963,2,1963-09-22,32-080,CHI,@,MIN,W 28-7,7,53,7.57,0,,3,11,3.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
37,1963,3,1963-09-29,32-087,CHI,@,DET,W 37-21,6,20,3.33,0,,2,24,12.00,0,0,0,,0,0,0,,,,1,8,8.00,0,0,0,0,0,,0
38,1963,4,1963-10-06,32-094,CHI,,BAL,W 10-3,7,54,7.71,0,,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
39,1963,5,1963-10-13,32-101,CHI,@,RAM,W 52-14,7,3,0.43,0,,2,-10,-5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
40,1963,6,1963-10-20,32-108,CHI,@,SFO,L 14-20,5,28,5.60,0,,3,36,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
41,1963,7,1963-10-27,32-115,CHI,,PHI,W 16-7,2,6,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
42,1963,8,1963-11-03,32-122,CHI,@,BAL,W 17-7,12,25,2.08,0,,3,15,5.00,1,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
43,1963,9,1963-11-10,32-129,CHI,,RAM,W 6-0,3,17,5.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
44,1963,10,1963-11-17,32-136,CHI,,GNB,W 26-7,11,44,4.00,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
45,1964,1,1964-09-13,33-071,CHI,@,GNB,L 12-23,3,7,2.33,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
46,1964,2,1964-09-20,33-078,CHI,@,MIN,W 34-28,1,2,2.00,0,,1,51,51.00,1,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
47,1964,3,1964-09-27,33-085,CHI,@,BAL,L 0-52,5,3,0.60,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
48,1964,4,1964-10-04,33-092,CHI,@,SFO,L 21-31,5,27,5.40,0,,4,2,0.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
49,1964,5,1964-10-11,33-099,CHI,,RAM,W 38-17,7,23,3.29,0,,1,-7,-7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
50,1964,6,1964-10-18,33-106,CHI,,DET,L 0-10,2,1,0.50,0,,2,5,2.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
