
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
24,1992,8,1992-10-25,23-076,DEN,@,SDG,L 21-24,1,3,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1992,9,1992-11-08,23-090,DEN,,NYJ,W 27-16,4,10,2.50,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
26,1992,10,1992-11-15,23-097,DEN,,NYG,W 27-13,7,29,4.14,1,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
27,1992,11,1992-11-22,23-104,DEN,@,RAI,L 0-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,,,,,,
28,1992,12,1992-11-30,23-112,DEN,@,SEA,L 13-16,2,5,2.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1992,13,1992-12-06,23-118,DEN,,DAL,L 27-31,10,59,5.90,0,2,2,25,12.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
30,1992,14,1992-12-12,23-124,DEN,@,BUF,L 17-27,16,47,2.94,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
31,1992,15,1992-12-20,23-132,DEN,,SEA,W 10-6,6,22,3.67,0,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
32,1992,16,1992-12-27,23-139,DEN,@,KAN,L 20-42,9,21,2.33,1,1,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,32 Games,,,,,20-12-0,172,644,3.74,8,4,6,39,6.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,20,20.00,0,8,48
