
13,2006,5,2006-10-15,23-336,HOU,@,DAL,L 6-34,4,5,1.25,0,5,4,26,6.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
14,2006,6,2006-10-22,23-343,HOU,,JAX,W 27-7,10,27,2.70,0,4,3,15,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
15,2006,9,2006-11-12,23-364,HOU,@,JAX,W 13-10,17,67,3.94,0,2,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
16,2006,10,2006-11-19,24-006,HOU,,BUF,L 21-24,10,69,6.90,1,5,5,30,6.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
17,2006,11,2006-11-26,24-013,HOU,@,NYJ,L 11-26,3,4,1.33,0,3,1,-4,-4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
18,2007,3,2007-09-23,24-314,HOU,,IND,L 24-30,6,12,2.00,1,3,3,9,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
19,2007,4,2007-09-30,24-321,HOU,@,ATL,L 16-26,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
20,2007,5,2007-10-07,24-328,HOU,,MIA,W 22-19,8,19,2.38,0,2,2,24,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
21,2007,6,2007-10-14,24-335,HOU,@,JAX,L 17-37,4,15,3.75,0,3,3,26,8.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
22,2007,11,2007-11-26,25-013,MIA,@,PIT,L 0-3,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
23,2007,12,2007-12-02,25-019,MIA,,NYJ,L 13-40,2,2,1.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
24,2007,13,2007-12-09,25-026,MIA,@,BUF,L 17-38,12,52,4.33,2,3,2,41,20.50,0,0,0,,0,0,0,,,,0,0,,0,2,12,0.0,0,0
25,2007,14,2007-12-16,25-033,MIA,,BAL,W 22-16,18,43,2.39,1,2,2,6,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
26,2007,15,2007-12-23,25-040,MIA,@,NWE,L 7-28,2,5,2.50,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
27,2007,16,2007-12-30,25-047,MIA,,CIN,L 25-38,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
28,2008,9,2008-11-09,25-362,STL,@,NYJ,L 3-47,2,4,2.00,0,1,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
29,2009,1,2009-09-13,26-304,STL,@,SEA,L 0-28,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,0.0,0,0
30,2009,2,2009-09-20,26-311,STL,@,WAS,L 7-9,,,,,0,,,,,,,,,,,,,,,,,,,,,,
31,2009,3,2009-09-27,26-318,STL,,GNB,L 17-36,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
32,2009,4,2009-10-04,26-325,STL,@,SFO,L 0-35,1,-1,-1.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
33,2009,5,2009-10-11,26-332,STL,,MIN,L 10-38,3,16,5.33,0,1,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
34,2009,6,2009-10-18,26-339,STL,@,JAX,L 20-23,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
35,2009,7,2009-10-25,26-346,STL,,IND,L 6-42,4,5,1.25,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
36,2009,8,2009-11-01,26-353,STL,@,DET,W 17-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,1
37,2009,9,2009-11-15,27-002,STL,,NOR,L 23-28,2,3,1.50,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,1,0
38,2009,10,2009-11-22,27-009,STL,,ARI,L 13-21,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
39,2009,11,2009-11-29,27-016,STL,,SEA,L 17-27,1,-1,-1.00,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
40,2009,12,2009-12-06,27-023,STL,@,CHI,L 9-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2009,13,2009-12-13,27-030,STL,@,TEN,L 7-47,0,0,,0,1,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
42,2009,14,2009-12-20,27-037,STL,,HOU,L 13-16,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
43,2009,15,2009-12-27,27-044,STL,@,ARI,L 10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,43 Games,,,,,8-35-0,268,972,3.63,11,52,43,292,6.79,1,0,1,0.00,0,0,0,39.6,0.00,0.00,4,80,20.00,0,12,72,0.0,1,1
