
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
40,1994,8,1994-10-30,25-140,NWE,,MIA,L 3-23,8,6,36,6.00,0,6,18,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1994,9,1994-11-06,25-147,NWE,@,CLE,L 6-13,3,2,10,5.00,0,7,23,3.29,0,0,0,,0,0,0,,,,0,0,,0,0,0
42,1994,10,1994-11-13,25-154,NWE,,MIN,W 26-20,6,4,27,6.75,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
43,1994,11,1994-11-20,25-161,NWE,,SDG,W 23-17,3,3,25,8.33,0,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
44,1994,12,1994-11-27,25-168,NWE,@,IND,W 12-10,1,1,14,14.00,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
45,1994,13,1994-12-04,25-175,NWE,,NYJ,W 24-13,2,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
46,1994,14,1994-12-11,25-182,NWE,,IND,W 28-13,2,2,14,7.00,0,2,5,2.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
47,1994,15,1994-12-18,25-189,NWE,@,BUF,W 41-17,2,2,19,9.50,0,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
48,1994,16,1994-12-24,25-195,NWE,@,CHI,W 13-3,2,0,0,,0,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
49,1995,1,1995-09-03,26-083,PHI,,TAM,L 6-21,4,4,29,7.25,0,2,9,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
50,1995,2,1995-09-10,26-090,PHI,@,ARI,W 31-19,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
51,1996,1,1996-09-01,27-081,PHI,@,WAS,W 17-14,2,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
52,1996,2,1996-09-09,27-089,PHI,@,GNB,L 13-39,2,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
53,1996,3,1996-09-15,27-095,PHI,,DET,W 24-17,5,4,43,10.75,0,4,14,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
54,1996,4,1996-09-22,27-102,PHI,@,ATL,W 33-18,4,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
55,1996,5,1996-09-30,27-110,PHI,,DAL,L 19-23,7,4,79,19.75,0,4,12,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
56,1996,6,1996-10-13,27-123,PHI,@,NYG,W 19-10,3,2,5,2.50,0,2,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
57,1996,7,1996-10-20,27-130,PHI,,MIA,W 35-28,0,0,0,,0,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
58,1996,8,1996-10-27,27-137,PHI,,CAR,W 20-9,5,3,14,4.67,0,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
59,1996,9,1996-11-03,27-144,PHI,@,DAL,W 31-21,1,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
60,1996,10,1996-11-10,27-151,PHI,,BUF,L 17-24,7,5,43,8.60,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
61,1996,11,1996-11-17,27-158,PHI,,WAS,L 21-26,1,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
62,1996,12,1996-11-24,27-165,PHI,@,ARI,L 30-36,4,4,40,10.00,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
63,1996,13,1996-12-01,27-172,PHI,,NYG,W 24-0,2,0,0,,0,3,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
64,1996,14,1996-12-05,27-176,PHI,@,IND,L 10-37,6,5,56,11.20,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
65,1996,15,1996-12-14,27-185,PHI,@,NYJ,W 21-20,3,3,11,3.67,0,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
66,1996,16,1996-12-22,27-193,PHI,,ARI,W 29-19,4,4,49,12.25,0,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
67,1997,1,1997-08-31,28-080,PHI,@,NYG,L 17-31,3,2,50,25.00,1,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
68,1997,2,1997-09-07,28-087,PHI,,GNB,W 10-9,1,1,3,3.00,0,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
69,1997,3,1997-09-15,28-095,PHI,@,DAL,L 20-21,3,2,15,7.50,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
70,1997,4,1997-09-28,28-108,PHI,@,MIN,L 19-28,4,4,39,9.75,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
71,1997,5,1997-10-05,28-115,PHI,,WAS,W 24-10,5,4,43,10.75,0,3,38,12.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
72,1997,6,1997-10-12,28-122,PHI,@,JAX,L 21-38,6,6,59,9.83,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
73,1997,7,1997-10-19,28-129,PHI,,ARI,W 13-10,5,5,43,8.60,0,3,1,0.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
74,1997,8,1997-10-26,28-136,PHI,,DAL,W 13-12,5,2,34,17.00,0,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
75,1997,9,1997-11-02,28-143,PHI,@,ARI,L 21-31,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
76,1997,10,1997-11-10,28-151,PHI,,SFO,L 12-24,7,3,3,1.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
77,1997,11,1997-11-16,28-157,PHI,@,BAL,T 10-10,5,5,57,11.40,0,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
78,1997,12,1997-11-23,28-164,PHI,,PIT,W 23-20,1,0,0,,0,2,11,5.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
79,1997,13,1997-11-30,28-171,PHI,,CIN,W 44-42,6,4,41,10.25,1,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
80,1997,14,1997-12-07,28-178,PHI,,NYG,L 21-31,3,2,10,5.00,0,2,7,3.50,0,0,0,,0,0,0,,,,2,40,20.00,0,0,0
81,1997,15,1997-12-14,28-185,PHI,@,ATL,L 17-20,2,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
82,1997,16,1997-12-21,28-192,PHI,@,WAS,L 32-35,6,6,44,7.33,0,2,16,8.00,0,0,0,,0,0,0,,,,1,8,8.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
83,1998,1,1998-09-06,29-086,PHI,,SEA,L 0-38,6,3,6,2.00,0,8,54,6.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
84,1998,2,1998-09-13,29-093,PHI,@,ATL,L 12-17,4,3,20,6.67,0,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
85,1998,3,1998-09-20,29-100,PHI,@,ARI,L 3-17,2,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
86,1998,4,1998-09-27,29-107,PHI,,KAN,L 21-24,5,4,36,9.00,0,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
87,1998,5,1998-10-04,29-114,PHI,@,DEN,L 16-41,4,2,4,2.00,0,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
88,1998,6,1998-10-11,29-121,PHI,,WAS,W 17-12,2,2,6,3.00,0,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
89,1998,7,1998-10-18,29-128,PHI,@,SDG,L 10-13,4,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
90,1998,8,1998-11-02,29-143,PHI,,DAL,L 0-34,7,3,31,10.33,0,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
91,1998,12,1998-11-29,29-170,PHI,@,GNB,L 16-24,6,4,36,9.00,0,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
92,1998,13,1998-12-03,29-174,PHI,,STL,W 17-14,3,2,10,5.00,0,0,0,,0,0,0,,0,0,0,,,,1,15,15.00,0,0,0
93,1998,14,1998-12-13,29-184,PHI,,ARI,L 17-20,4,2,29,14.50,0,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
94,1998,15,1998-12-20,29-191,PHI,@,DAL,L 9-13,3,3,18,6.00,0,3,10,3.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
95,1998,16,1998-12-27,29-198,PHI,,NYG,L 10-20,6,4,27,6.75,0,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
96,1999,1,1999-09-12,30-092,PHI,,ARI,L 24-25,0,0,0,,0,3,6,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
97,1999,2,1999-09-19,30-099,PHI,,TAM,L 5-19,7,6,32,5.33,0,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
98,1999,3,1999-09-26,30-106,PHI,@,BUF,L 0-26,,,,,,,,,,,,,,,,,,,,,,,,
99,1999,7,1999-10-24,30-134,PHI,@,MIA,L 13-16,1,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
100,1999,8,1999-10-31,30-141,PHI,,NYG,L 17-23,1,1,5,5.00,0,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
101,1999,9,1999-11-07,30-148,PHI,@,CAR,L 7-33,1,,,,,,,,,,,,,,,,,,,,,,,
102,1999,10,1999-11-14,30-155,PHI,,WAS,W 35-28,3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
103,1999,11,1999-11-21,30-162,PHI,,IND,L 17-44,1,,,,,,,,,,,,,,,,,,,,,,,
,,,103 Games,,,,,37-65-1,334,236,2015,8.54,10,160,635,3.97,1,0,1,0.00,0,0,0,39.6,0.00,0.00,5,74,14.80,0,11,66
