
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
35,2011,3,2011-09-25,30-115,DET,@,MIN,W 26-23,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,3,74,24.67,0,4,37,9.25,0,0,0,0.0,0,0
36,2011,4,2011-10-02,30-122,DET,@,DAL,W 34-30,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,76,25.33,0,1,12,12.00,0,0,0,0.0,0,0
37,2011,5,2011-10-10,30-130,DET,,CHI,W 24-13,1,6,6.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,26,8.67,0,0,0,0.0,0,0
38,2011,6,2011-10-16,30-136,DET,,SFO,L 19-25,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,41,13.67,0,0,0,0.0,0,0
39,2011,7,2011-10-23,30-143,DET,,ATL,L 16-23,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,5,141,28.20,0,1,0,0.00,0,0,0,0.0,0,0
40,2011,8,2011-10-30,30-150,DET,@,DEN,W 45-10,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,30,10.00,0,0,0,0.0,0,0
41,2011,9,2011-11-13,30-164,DET,@,CHI,L 13-37,1,5,5.00,0,0,0,0,,0,0,0,,0,0,0,,,,2,44,22.00,0,3,2,0.67,0,0,0,0.0,0,0
42,2011,10,2011-11-20,30-171,DET,,CAR,W 49-35,1,-2,-2.00,0,0,0,0,,0,0,0,,0,0,0,,,,2,46,23.00,0,2,25,12.50,0,0,0,0.0,0,0
43,2011,11,2011-11-24,30-175,DET,,GNB,L 15-27,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,113,28.25,0,1,-2,-2.00,0,0,0,0.0,0,0
44,2011,12,2011-12-04,30-185,DET,@,NOR,L 17-31,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,,,2,52,26.00,0,2,13,6.50,0,0,0,0.0,0,0
45,2011,13,2011-12-11,30-192,DET,,MIN,W 34-28,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,5,119,23.80,0,1,28,28.00,0,0,0,0.0,0,0
46,2011,14,2011-12-18,30-199,DET,@,OAK,W 28-27,1,5,5.00,0,1,1,19,19.00,0,0,0,,0,0,0,,,,2,35,17.50,0,3,33,11.00,0,0,0,0.0,0,0
47,2011,15,2011-12-24,30-205,DET,,SDG,W 38-10,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,1,29,29.00,0,2,7,3.50,0,0,0,0.0,0,0
48,2011,16,2012-01-01,30-213,DET,@,GNB,L 41-45,1,16,16.00,0,0,0,0,,0,0,0,,0,0,0,,,,4,103,25.75,0,2,8,4.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
49,2012,1,2012-09-09,31-099,DET,,STL,W 27-23,1,1,1.00,0,1,1,-1,-1.00,0,0,0,,0,0,0,,,,1,18,18.00,0,5,53,10.60,0,0,0,0.0,0,0
50,2012,2,2012-09-16,31-106,DET,@,SFO,L 19-27,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,64,32.00,0,1,10,10.00,0,0,0,0.0,0,0
