
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
35,2002,4,2002-09-29,29-195,TAM,@,CIN,W 35-7,,0,0,,0,0,0,,,,1,4,4.00,0,0,0,0,,0,0,0
36,2002,7,2002-10-20,29-216,TAM,@,PHI,L 10-20,,4,7,57.14,31,0,0,68.2,4.43,4.43,3,10,3.33,0,0,0,0,,0,0,0
37,2002,8,2002-10-27,29-223,TAM,@,CAR,W 12-9,*,22,33,66.67,179,0,1,67.6,5.42,4.06,4,17,4.25,0,0,0,0,,0,0,0
38,2002,11,2002-11-24,29-251,TAM,,GNB,W 21-7,,3,5,60.00,33,0,1,40.0,6.60,-2.40,2,8,4.00,0,0,0,0,,0,0,0
39,2002,15,2002-12-23,29-280,TAM,,PIT,L 7-17,,12,18,66.67,159,1,0,113.0,8.83,9.94,1,5,5.00,0,0,0,0,,0,0,0
40,2002,16,2002-12-29,29-286,TAM,@,CHI,W 15-0,*,16,25,64.00,134,0,0,77.7,5.36,5.36,3,29,9.67,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
41,2003,6,2003-10-12,30-208,WAS,,TAM,L 13-35,,4,4,100.00,35,0,0,103.1,8.75,8.75,0,0,,0,0,0,0,,0,0,0
42,2003,7,2003-10-19,30-215,WAS,@,BUF,L 7-24,,1,3,33.33,4,0,0,42.4,1.33,1.33,1,6,6.00,0,0,0,0,,0,0,0
43,2003,12,2003-11-30,30-257,OAK,,DEN,L 8-22,,,,,,,,,,,,,,,,,,,,,
44,2003,15,2003-12-22,30-279,OAK,,GNB,L 7-41,,6,13,46.15,54,0,1,25.8,4.15,0.69,2,15,7.50,0,0,0,0,,0,0,0
,,,44 Games,,,,,19-25-0,,494,806,61.29,5795,30,23,83.6,7.19,6.65,140,877,6.26,4,1,1,-6,-6.00,0,4,24
