
10,1997,8,1997-10-19,27-009,NYJ,,NWE,W 24-19,,17,23,73.91,200,1,0,114.4,8.70,9.57,2,-4,-2.00,0,0,0,0,,0
11,1997,9,1997-11-02,27-023,NYJ,,BAL,W 19-16,,6,13,46.15,72,0,0,63.6,5.54,5.54,0,0,,0,0,0,0,,0
12,1997,10,1997-11-09,27-030,NYJ,@,MIA,L 17-24,*,25,48,52.08,322,1,1,71.7,6.71,6.19,1,-1,-1.00,0,0,0,0,,0
13,1997,11,1997-11-16,27-037,NYJ,@,CHI,W 23-15,*,8,13,61.54,111,1,0,114.6,8.54,10.08,0,0,,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
14,1998,1,1998-09-06,27-331,NYJ,@,SFO,L 30-36,*,30,58,51.72,415,3,1,85.1,7.16,7.41,0,0,,0,0,0,0,,0
15,1998,2,1998-09-13,27-338,NYJ,,BAL,L 10-24,*,22,32,68.75,247,1,3,62.9,7.72,4.13,1,-6,-6.00,0,0,0,0,,0
16,1998,5,1998-10-11,28-001,NYJ,@,STL,L 10-30,*,5,15,33.33,76,0,2,11.4,5.07,-0.93,1,-1,-1.00,0,0,0,0,,0
17,1998,7,1998-10-25,28-015,NYJ,,ATL,W 28-3,,0,0,,0,0,0,,,,3,-4,-1.33,0,0,0,0,,0
18,1998,16,1998-12-27,28-078,NYJ,,NWE,W 31-10,,1,3,33.33,11,0,0,45.1,3.67,3.67,0,0,,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
19,1999,2,1999-09-19,28-344,SEA,@,CHI,W 14-13,*,18,30,60.00,283,2,0,113.6,9.43,10.77,3,-1,-0.33,0,0,0,0,,0
20,1999,7,1999-11-01,29-022,SEA,@,GNB,W 27-7,,,,,,,,,,,,,,,,,,,
21,1999,8,1999-11-07,29-028,SEA,,CIN,W 37-20,,,,,,,,,,,,,,,,,,,
,,,21 Games,,,,,9-12-0,,207,382,54.19,2469,12,16,67.2,6.46,5.21,19,32,1.68,0,1,1,-9,-9.00,0
