
38,2005,9,2005-11-13,25-303,JAX,,BAL,W 30-3,*,16,30,53.33,211,1,0,86.9,7.03,7.70,4,3,0.75,0,0,0,0,,0,0,0
39,2005,10,2005-11-20,25-310,JAX,@,TEN,W 31-28,*,22,38,57.89,258,3,0,104.9,6.79,8.37,6,9,1.50,1,0,0,0,,0,1,6
40,2005,11,2005-11-27,25-317,JAX,@,ARI,W 24-17,*,2,2,100.00,18,0,0,104.2,9.00,9.00,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
41,2006,1,2006-09-10,26-239,JAX,,DAL,W 24-17,*,23,34,67.65,237,1,1,85.0,6.97,6.24,5,7,1.40,1,0,0,0,,0,1,6
42,2006,2,2006-09-18,26-247,JAX,,PIT,W 9-0,*,26,39,66.67,260,0,1,74.7,6.67,5.51,5,4,0.80,0,0,0,0,,0,0,0
43,2006,3,2006-09-24,26-253,JAX,@,IND,L 14-21,*,16,28,57.14,107,1,2,47.8,3.82,1.32,6,14,2.33,1,0,0,0,,0,1,6
44,2006,4,2006-10-01,26-260,JAX,@,WAS,L 30-36,*,20,34,58.82,290,3,1,103.8,8.53,8.97,5,14,2.80,0,0,0,0,,0,0,0
45,2006,5,2006-10-08,26-267,JAX,,NYJ,W 41-0,*,9,20,45.00,140,2,0,102.1,7.00,9.00,4,2,0.50,0,0,0,0,,0,0,0
46,2006,6,2006-10-22,26-281,JAX,@,HOU,L 7-27,*,14,28,50.00,125,0,0,62.4,4.46,4.46,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
47,2007,3,2007-09-23,27-252,ATL,,CAR,L 20-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0
48,2007,5,2007-10-07,27-266,ATL,@,TEN,L 13-20,,2,8,25.00,28,0,1,2.1,3.50,-2.13,3,1,0.33,0,0,0,0,,0,0,0
49,2007,7,2007-10-21,27-280,ATL,@,NOR,L 16-22,*,15,23,65.22,145,1,0,97.2,6.30,7.17,3,6,2.00,0,0,0,0,,0,0,0
50,2007,10,2007-11-18,27-308,ATL,,TAM,L 7-31,*,15,27,55.56,106,0,1,49.3,3.93,2.26,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
51,2008,1,2008-09-07,28-237,PIT,,HOU,W 38-17,,0,4,0.00,0,0,0,39.6,0.00,0.00,2,0,0.00,0,0,0,0,,0,0,0
52,2008,3,2008-09-21,28-251,PIT,@,PHI,L 6-15,,4,7,57.14,60,0,0,85.4,8.57,8.57,0,0,,0,0,0,0,,0,0,0
53,2008,6,2008-10-19,28-279,PIT,@,CIN,W 38-10,,3,3,100.00,34,1,0,153.5,11.33,18.00,0,0,,0,0,0,0,,0,0,0
54,2008,8,2008-11-03,28-294,PIT,@,WAS,W 23-6,,7,10,70.00,129,1,0,145.8,12.90,14.90,1,-1,-1.00,0,0,0,0,,0,0,0
55,2008,16,2008-12-28,28-349,PIT,,CLE,W 31-0,,7,12,58.33,80,0,0,78.5,6.67,6.67,1,8,8.00,1,0,0,0,,0,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
56,2009,1,2009-09-13,29-242,TAM,,DAL,L 21-34,*,25,41,60.98,276,1,0,89.1,6.73,7.22,3,3,1.00,0,0,0,0,,0,0,0
57,2009,2,2009-09-20,29-249,TAM,@,BUF,L 20-33,*,26,50,52.00,296,3,2,73.4,5.92,5.32,1,0,0.00,0,0,0,0,,0,0,0
58,2009,3,2009-09-27,29-256,TAM,,NYG,L 0-24,*,7,16,43.75,22,0,1,25.0,1.38,-1.44,2,3,1.50,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
59,2010,16,2011-01-02,30-353,PIT,@,CLE,W 41-9,,5,7,71.43,42,0,0,86.6,6.00,6.00,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
60,2012,9,2012-11-12,32-303,PIT,,KAN,W 16-13,,7,14,50.00,73,0,0,65.5,5.21,5.21,0,0,,0,0,0,0,,0,0,0
61,2012,10,2012-11-18,32-309,PIT,,BAL,L 10-13,*,18,39,46.15,199,0,1,51.1,5.10,3.95,1,31,31.00,1,0,0,0,,0,1,6
,,,61 Games,,,,,30-31-0,,930,1605,57.94,10532,58,42,78.9,6.56,6.11,137,415,3.03,10,1,1,-7,-7.00,0,10,60
