
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
45,1963,5,1963-10-13,34-352,PIT,@,STL,L 23-24,*,8,23,34.78,235,1,1,70.0,10.22,9.13,1,1,1.00,1,,0,0,,0,,,,,,,1,6,5,200,40.00,0
46,1963,6,1963-10-20,34-359,PIT,,WAS,W 38-27,*,13,19,68.42,238,1,0,128.7,12.53,13.58,1,1,1.00,1,,0,0,,0,,,,,,,1,6,3,132,44.00,0
47,1963,7,1963-10-27,35-001,PIT,,DAL,W 27-21,*,15,31,48.39,377,4,3,93.1,12.16,10.39,0,0,,0,,0,0,,0,,,,,,,0,0,4,170,42.50,0
48,1963,8,1963-11-03,35-008,PIT,@,GNB,L 14-33,*,11,26,42.31,147,1,2,41.7,5.65,2.96,0,0,,0,,0,0,,0,,,,,,,0,0,2,53,26.50,0
49,1963,9,1963-11-10,35-015,PIT,,CLE,W 9-7,*,13,27,48.15,215,1,1,72.3,7.96,7.04,4,-3,-0.75,0,,0,0,,0,,,,,,,0,0,3,140,46.67,0
50,1963,10,1963-11-17,35-022,PIT,@,WAS,W 34-28,*,13,28,46.43,254,1,1,75.6,9.07,8.18,3,15,5.00,0,,0,0,,0,,,,,,,0,0,2,66,33.00,0
51,1963,11,1963-11-24,35-029,PIT,,CHI,T 17-17,*,10,25,40.00,134,1,1,54.4,5.36,4.36,1,-5,-5.00,0,,0,0,,0,,,,,,,0,0,5,185,37.00,0
52,1963,12,1963-12-01,35-036,PIT,,PHI,T 20-20,*,13,31,41.94,243,2,4,51.6,7.84,3.32,0,0,,0,,0,0,,0,,,,,,,0,0,4,157,39.25,0
53,1963,13,1963-12-08,35-043,PIT,@,DAL,W 24-19,*,8,18,44.44,219,2,1,103.7,12.17,11.89,2,0,0.00,0,,0,0,,0,,,,,,,0,0,4,175,43.75,0
54,1963,14,1963-12-15,35-050,PIT,@,NYG,L 17-33,*,13,33,39.39,217,2,3,44.6,6.58,3.70,1,3,3.00,0,,0,0,,0,,,,,,,0,0,5,177,35.40,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
55,1964,1,1964-09-13,35-323,PIT,,RAM,L 14-26,*,9,28,32.14,111,1,3,17.7,3.96,-0.14,2,22,11.00,0,,0,0,,0,,,,,,,0,0,6,263,43.83,0
56,1964,2,1964-09-20,35-330,PIT,,NYG,W 27-24,*,5,10,50.00,94,1,2,76.7,9.40,2.40,3,5,1.67,2,,0,0,,0,,,,,,,2,12,0,0,,0
57,1964,3,1964-09-27,35-337,PIT,,DAL,W 23-17,*,10,22,45.45,176,3,0,112.9,8.00,10.73,2,4,2.00,0,,0,0,,0,,,,,,,0,0,0,0,,0
58,1964,4,1964-10-04,35-344,PIT,@,PHI,L 7-21,*,17,34,50.00,234,0,0,72.4,6.88,6.88,2,6,3.00,0,,0,0,,0,,,,,,,0,0,0,0,,0
59,1964,5,1964-10-10,35-350,PIT,@,CLE,W 23-7,*,9,11,81.82,128,0,0,115.2,11.64,11.64,5,27,5.40,0,,0,0,,0,,,,,,,0,0,1,39,39.00,0
60,1964,6,1964-10-18,35-358,PIT,@,MIN,L 10-30,*,8,21,38.10,162,1,1,62.0,7.71,6.52,0,0,,0,,0,0,,0,,,,,,,0,0,0,0,,0
61,1964,7,1964-10-25,35-365,PIT,,PHI,L 10-34,*,5,21,23.81,80,0,1,23.1,3.81,1.67,1,17,17.00,0,,0,0,,0,,,,,,,0,0,0,0,,0
62,1964,8,1964-11-01,36-006,PIT,,CLE,L 17-30,*,8,23,34.78,128,0,2,18.0,5.57,1.65,1,1,1.00,0,,0,0,,0,,,,,,,0,0,3,140,46.67,0
63,1964,9,1964-11-08,36-013,PIT,@,STL,L 30-34,*,7,15,46.67,128,1,1,71.0,8.53,6.87,2,6,3.00,0,,0,0,,0,,,,,,,0,0,0,0,,0
64,1964,10,1964-11-15,36-020,PIT,,WAS,L 0-30,,9,20,45.00,131,0,3,27.3,6.55,-0.20,0,0,,0,,0,0,,0,,,,,,,0,0,3,109,36.33,0
65,1964,11,1964-11-22,36-027,PIT,@,NYG,W 44-17,*,10,13,76.92,184,2,0,157.9,14.15,17.23,0,0,,0,,0,0,,0,,,,,,,0,0,1,36,36.00,0
66,1964,12,1964-11-29,36-034,PIT,,STL,L 20-21,*,10,23,43.48,178,0,3,31.0,7.74,1.87,3,15,5.00,0,,0,0,,0,,,,,,,0,0,5,229,45.80,0
67,1964,13,1964-12-06,36-041,PIT,@,WAS,W 14-7,*,5,9,55.56,90,1,1,87.5,10.00,7.22,4,7,1.75,0,,0,0,,0,,,,,,,0,0,6,251,41.83,0
68,1964,14,1964-12-13,36-048,PIT,@,DAL,L 14-17,*,9,22,40.91,166,2,2,60.0,7.55,5.27,1,0,0.00,0,,0,0,,0,,,,,,,0,0,6,273,45.50,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
69,1965,2,1965-09-26,36-335,PIT,@,SFO,L 17-27,,1,3,33.33,15,0,0,50.7,5.00,5.00,0,0,,0,,0,0,,0,,,,,,,0,0,0,0,,0
70,1965,9,1965-11-14,37-019,PIT,@,DAL,L 17-24,,0,4,0.00,0,0,3,0.0,0.00,-33.75,0,0,,0,,0,0,,0,,,,,,,0,0,0,0,,0
71,1965,10,1965-11-21,37-026,PIT,,WAS,L 3-31,,6,11,54.55,108,0,2,48.9,9.82,1.64,1,-1,-1.00,0,,0,0,,0,,,,,,,0,0,0,0,,0
72,1965,14,1965-12-18,37-053,BAL,@,RAM,W 20-17,,3,5,60.00,81,1,0,143.7,16.20,20.20,1,-2,-2.00,0,,0,0,,0,,,,,,,0,0,2,80,40.00,0
,,,72 Games,,,,,35-33-4,,447,988,45.24,7723,50,72,58.9,7.82,5.55,77,226,2.94,6,,1,-6,-6.00,0,1,1,100.0,1,2,50.0,6,40,264,10754,40.73,2
