
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
44,1963,6,1963-10-20,33-016,CHI,@,SFO,L 14-20,*,15,20,75.00,115,1,1,84.4,5.75,4.50,2,20,10.00,0,,0,0,,0,0,0
45,1963,7,1963-10-27,33-023,CHI,,PHI,W 16-7,*,20,35,57.14,253,1,0,89.3,7.23,7.80,2,5,2.50,0,,0,0,,0,0,0
46,1963,8,1963-11-03,33-030,CHI,@,BAL,W 17-7,*,9,12,75.00,126,1,0,136.1,10.50,12.17,6,15,2.50,1,,0,0,,0,1,6
47,1963,9,1963-11-10,33-037,CHI,,RAM,W 6-0,*,12,30,40.00,151,0,1,42.5,5.03,3.53,2,6,3.00,0,,0,0,,0,0,0
48,1963,10,1963-11-17,33-044,CHI,,GNB,W 26-7,*,6,14,42.86,92,0,0,65.2,6.57,6.57,4,28,7.00,1,,0,0,,0,1,6
49,1963,11,1963-11-24,33-051,CHI,@,PIT,T 17-17,*,17,32,53.13,264,0,3,41.7,8.25,4.03,1,3,3.00,0,,0,0,,0,0,0
50,1963,12,1963-12-01,33-058,CHI,,MIN,T 17-17,*,16,32,50.00,164,1,0,75.5,5.13,5.75,5,5,1.00,1,,0,0,,0,1,6
51,1963,13,1963-12-08,33-065,CHI,,SFO,W 27-7,*,7,20,35.00,136,0,1,38.7,6.80,4.55,3,9,3.00,1,,0,0,,0,1,6
52,1963,14,1963-12-15,33-072,CHI,,DET,W 24-14,*,14,29,48.28,235,2,2,70.3,8.10,6.38,5,0,0.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
53,1964,1,1964-09-13,33-345,CHI,@,GNB,L 12-23,*,4,11,36.36,28,0,0,44.9,2.55,2.55,3,7,2.33,0,,0,0,,0,0,0
54,1964,2,1964-09-20,33-352,CHI,@,MIN,W 34-28,*,23,31,74.19,341,3,1,128.6,11.00,11.48,4,11,2.75,1,,0,0,,0,1,6
55,1964,3,1964-09-27,33-359,CHI,@,BAL,L 0-52,*,13,25,52.00,186,0,2,43.1,7.44,3.84,2,7,3.50,0,,0,0,,0,0,0
56,1964,4,1964-10-04,34-000,CHI,@,SFO,L 21-31,*,22,38,57.89,184,3,0,96.8,4.84,6.42,2,33,16.50,0,,0,0,,0,0,0
57,1964,5,1964-10-11,34-007,CHI,,RAM,W 38-17,*,23,46,50.00,249,4,0,95.3,5.41,7.15,2,7,3.50,0,,0,0,,0,0,0
58,1964,6,1964-10-18,34-014,CHI,,DET,L 0-10,*,20,37,54.05,155,0,2,42.1,4.19,1.76,2,-1,-0.50,0,,0,0,,0,0,0
59,1964,7,1964-10-25,34-021,CHI,@,WAS,L 20-27,*,33,57,57.89,321,3,2,76.7,5.63,5.11,3,6,2.00,0,,0,0,,0,0,0
60,1964,8,1964-11-01,34-028,CHI,,DAL,L 10-24,*,12,28,42.86,163,0,3,22.5,5.82,1.00,1,2,2.00,0,,0,0,,0,0,0
61,1964,9,1964-11-08,34-035,CHI,,BAL,L 24-40,*,10,12,83.33,94,0,1,64.6,7.83,4.08,2,10,5.00,0,,0,0,,0,0,0
62,1964,13,1964-12-05,34-062,CHI,,GNB,L 3-17,,11,18,61.11,77,0,1,47.7,4.28,1.78,2,13,6.50,0,,0,0,,0,0,0
63,1964,14,1964-12-13,34-070,CHI,,MIN,L 14-41,*,11,24,45.83,146,0,2,30.9,6.08,2.33,1,1,1.00,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
64,1965,1,1965-09-19,34-350,CHI,@,SFO,L 24-52,,8,19,42.11,93,0,0,57.6,4.89,4.89,1,3,3.00,0,,0,0,,0,0,0
65,1965,2,1965-09-25,34-356,CHI,@,RAM,L 28-30,*,8,13,61.54,56,0,1,39.3,4.31,0.85,1,2,2.00,0,,0,0,,0,0,0
66,1965,3,1965-10-03,34-364,CHI,@,GNB,L 14-23,*,4,9,44.44,55,0,1,25.0,6.11,1.11,3,13,4.33,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
67,1966,10,1966-11-20,36-047,CHI,@,GNB,L 6-13,,2,4,50.00,19,0,0,63.5,4.75,4.75,0,0,,0,,0,0,,0,0,0
68,1966,13,1966-12-11,36-068,CHI,@,SFO,L 14-41,,7,17,41.18,60,0,1,26.6,3.53,0.88,0,0,,0,,0,0,,0,0,0
,,,68 Games,,,,,33-33-2,,873,1589,54.94,11252,80,77,74.0,7.08,5.91,184,814,4.42,16,,0,10,,0,16,96
