
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punting,Punting,Punting,Punting
34,1980,2,1980-09-15,24-210,CLE,,HOU,L 7-16,0,0,,0,0,0,,0,0,0,,,,6,218,36.33,0
35,1980,3,1980-09-21,24-216,CLE,,KAN,W 20-13,1,-1,-1.00,0,0,0,,0,0,0,,,,2,73,36.50,0
36,1980,4,1980-09-28,24-223,CLE,@,TAM,W 34-27,0,0,,0,0,0,,0,0,0,,,,4,152,38.00,0
37,1980,5,1980-10-05,24-230,CLE,,DEN,L 16-19,0,0,,0,0,0,,0,0,0,,,,4,146,36.50,0
38,1980,6,1980-10-12,24-237,CLE,@,SEA,W 27-3,0,0,,0,0,0,,0,0,0,,,,3,104,34.67,0
39,1980,7,1980-10-19,24-244,CLE,,GNB,W 26-21,0,0,,0,0,0,,0,0,0,,,,4,172,43.00,0
40,1980,8,1980-10-26,24-251,CLE,,PIT,W 27-26,1,0,0.00,0,0,0,,0,0,0,,,,3,134,44.67,0
41,1980,9,1980-11-03,24-259,CLE,,CHI,W 27-21,0,0,,0,0,0,,0,0,0,,,,3,146,48.67,0
42,1980,10,1980-11-09,24-265,CLE,@,BAL,W 28-27,0,0,,0,0,0,,0,0,0,,,,5,172,34.40,0
43,1980,11,1980-11-16,24-272,CLE,@,PIT,L 13-16,1,-5,-5.00,0,0,0,,0,0,0,,,,3,121,40.33,0
44,1980,12,1980-11-23,24-279,CLE,,CIN,W 31-7,0,0,,0,0,0,,0,0,0,,,,3,126,42.00,0
45,1980,13,1980-11-30,24-286,CLE,@,HOU,W 17-14,0,0,,0,0,0,,0,0,0,,,,7,284,40.57,0
46,1980,14,1980-12-07,24-293,CLE,,NYJ,W 17-14,0,0,,0,0,0,,0,0,0,,,,2,83,41.50,0
47,1980,15,1980-12-14,24-300,CLE,@,MIN,L 23-28,0,0,,0,0,0,,0,0,0,,,,4,143,35.75,0
48,1980,16,1980-12-21,24-307,CLE,@,CIN,W 27-24,0,0,,0,0,0,,0,0,0,,,,7,225,32.14,0
,,,48 Games,,,,,28-20-0,5,6,1.20,0,2,3,66.67,33,0,0,103.5,11.00,11.00,214,8463,39.55,2
