
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
34,1997,13,1997-12-01,29-079,MIN,,GNB,L 11-27,*,15,30,50.00,117,0,1,46.1,3.90,2.40,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
35,1998,1,1998-09-06,29-358,MIN,,TAM,W 31-7,*,15,25,60.00,189,4,1,106.5,7.56,8.96,2,-2,-1.00,0,0,0,0,,0,0,0
36,1998,2,1998-09-13,30-000,MIN,@,STL,W 38-31,*,18,31,58.06,208,1,2,62.3,6.71,4.45,4,8,2.00,0,0,0,0,,0,0,0
37,1998,9,1998-11-08,30-056,MIN,,NOR,W 31-24,,28,38,73.68,316,1,2,85.0,8.32,6.47,4,1,0.25,0,0,0,0,,0,0,0
38,1998,15,1998-12-20,30-098,MIN,,JAX,W 50-10,,4,7,57.14,34,1,0,109.5,4.86,7.71,2,8,4.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
39,1999,1,1999-09-12,30-364,WAS,,DAL,L 35-41,*,20,33,60.61,382,2,0,121.0,11.58,12.79,0,0,,0,0,0,0,,0,0,0
40,1999,2,1999-09-19,31-006,WAS,@,NYG,W 50-21,*,20,28,71.43,231,3,0,131.7,8.25,10.39,2,11,5.50,0,0,0,0,,0,0,0
41,1999,3,1999-09-26,31-013,WAS,@,NYJ,W 27-20,*,17,28,60.71,241,0,0,88.5,8.61,8.61,3,1,0.33,0,0,0,0,,0,0,0
42,1999,4,1999-10-03,31-020,WAS,,CAR,W 38-36,*,20,33,60.61,337,4,0,134.7,10.21,12.64,4,11,2.75,0,0,0,0,,0,0,0
43,1999,5,1999-10-17,31-034,WAS,@,ARI,W 24-10,*,24,40,60.00,248,1,2,65.4,6.20,4.45,2,2,1.00,0,0,0,0,,0,0,0
44,1999,6,1999-10-24,31-041,WAS,@,DAL,L 20-38,*,23,35,65.71,218,2,0,101.8,6.23,7.37,1,-1,-1.00,0,0,0,0,,0,0,0
45,1999,7,1999-10-31,31-048,WAS,,CHI,W 48-22,*,15,25,60.00,204,2,0,112.7,8.16,9.76,1,1,1.00,1,0,0,0,,0,1,6
46,1999,8,1999-11-07,31-055,WAS,,BUF,L 17-34,*,19,37,51.35,232,1,1,68.7,6.27,5.59,0,0,,0,0,0,0,,0,0,0
47,1999,9,1999-11-14,31-062,WAS,@,PHI,L 28-35,*,18,33,54.55,313,2,3,69.4,9.48,6.61,1,-1,-1.00,0,0,0,0,,0,0,0
