
57,2012,10,2012-11-18,28-131,CIN,@,KAN,W 28-6,,,
58,2012,11,2012-11-25,28-138,CIN,,OAK,W 34-10,0.0,0,0
59,2012,12,2012-12-02,28-145,CIN,@,SDG,W 20-13,,,
60,2012,13,2012-12-09,28-152,CIN,,DAL,L 19-20,,,
61,2012,14,2012-12-13,28-156,CIN,@,PHI,W 34-13,,,
62,2012,15,2012-12-23,28-166,CIN,@,PIT,W 13-10,,,
63,2012,16,2012-12-30,28-173,CIN,,BAL,W 23-17,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
64,2013,1,2013-09-08,29-060,CIN,@,CHI,L 21-24,,,
65,2013,2,2013-09-16,29-068,CIN,,PIT,W 20-10,,,
66,2013,3,2013-09-22,29-074,CIN,,GNB,W 34-30,,,
67,2013,4,2013-09-29,29-081,CIN,@,CLE,L 6-17,,,
68,2013,5,2013-10-06,29-088,CIN,,NWE,W 13-6,,,
69,2013,6,2013-10-13,29-095,CIN,@,BUF,W 27-24,,,
70,2013,7,2013-10-20,29-102,CIN,@,DET,W 27-24,,,
71,2013,8,2013-10-27,29-109,CIN,,NYJ,W 49-9,,,
72,2013,9,2013-10-31,29-113,CIN,@,MIA,L 20-22,,,
73,2013,10,2013-11-10,29-123,CIN,@,BAL,L 17-20,0.0,1,0
74,2013,11,2013-11-17,29-130,CIN,,CLE,W 41-20,,,
75,2013,12,2013-12-01,29-144,CIN,@,SDG,W 17-10,,,
76,2013,13,2013-12-08,29-151,CIN,,IND,W 42-28,,,
77,2013,14,2013-12-15,29-158,CIN,@,PIT,L 20-30,,,
78,2013,15,2013-12-22,29-165,CIN,,MIN,W 42-14,,,
79,2013,16,2013-12-29,29-172,CIN,,BAL,W 34-17,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
80,2014,1,2014-09-07,30-059,CIN,@,BAL,W 23-16,,,
81,2014,2,2014-09-14,30-066,CIN,,ATL,W 24-10,,,
82,2014,3,2014-09-21,30-073,CIN,,TEN,W 33-7,,,
83,2014,4,2014-10-05,30-087,CIN,@,NWE,L 17-43,0.0,1,0
84,2014,5,2014-10-12,30-094,CIN,,CAR,T 37-37,,,
85,2014,6,2014-10-19,30-101,CIN,@,IND,L 0-27,,,
86,2014,7,2014-10-26,30-108,CIN,,BAL,W 27-24,,,
87,2014,8,2014-11-02,30-115,CIN,,JAX,W 33-23,,,
88,2014,9,2014-11-06,30-119,CIN,,CLE,L 3-24,,,
89,2014,10,2014-11-16,30-129,CIN,@,NOR,W 27-10,,,
90,2014,11,2014-11-23,30-136,CIN,@,HOU,W 22-13,,,
91,2014,12,2014-11-30,30-143,CIN,@,TAM,W 14-13,,,
92,2014,13,2014-12-07,30-150,CIN,,PIT,L 21-42,,,
93,2014,14,2014-12-14,30-157,CIN,@,CLE,W 30-0,,,
94,2014,15,2014-12-22,30-165,CIN,,DEN,W 37-28,,,
95,2014,16,2014-12-28,30-171,CIN,@,PIT,L 17-27,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
96,2015,1,2015-09-13,31-065,CIN,@,OAK,W 33-13,0.0,0,0
97,2015,2,2015-09-20,31-072,CIN,,SDG,W 24-19,0.0,0,0
98,2015,3,2015-09-27,31-079,CIN,@,BAL,W 28-24,0.0,0,0
99,2015,4,2015-10-04,31-086,CIN,,KAN,W 36-21,0.0,0,0
100,2015,5,2015-10-11,31-093,CIN,,SEA,W 27-24,0.0,0,0
101,2015,6,2015-10-18,31-100,CIN,@,BUF,W 34-21,0.0,0,0
102,2015,7,2015-11-01,31-114,CIN,@,PIT,W 16-10,0.0,0,0
103,2015,8,2015-11-05,31-118,CIN,,CLE,W 31-10,0.0,0,0
104,2015,9,2015-11-16,31-129,CIN,,HOU,L 6-10,0.0,0,0
105,2015,10,2015-11-22,31-135,CIN,@,ARI,L 31-34,0.0,0,0
106,2015,11,2015-11-29,31-142,CIN,,STL,W 31-7,0.0,0,0
,,,106 Games,,,,,62-43-1,0.0,2,2
