
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
39,2006,10,2006-11-19,26-327,CIN,@,NOR,W 31-16,*,14,22,63.64,275,3,1,127.8,12.50,13.18,2,-1,-0.50,0,,0,0,0.0,0,0
40,2006,11,2006-11-26,26-334,CIN,@,CLE,W 30-0,*,25,32,78.13,275,3,1,120.7,8.59,9.06,2,0,0.00,0,,0,0,0.0,0,0
41,2006,12,2006-11-30,26-338,CIN,,BAL,W 13-7,*,21,32,65.63,234,1,0,97.7,7.31,7.94,3,-3,-1.00,0,,0,0,0.0,0,0
42,2006,13,2006-12-10,26-348,CIN,,OAK,W 27-10,*,20,28,71.43,297,2,3,90.0,10.61,7.21,0,0,,0,,0,0,0.0,0,0
43,2006,14,2006-12-18,26-356,CIN,@,IND,L 16-34,*,14,28,50.00,176,0,0,69.9,6.29,6.29,1,11,11.00,0,,0,0,0.0,0,0
44,2006,15,2006-12-24,26-362,CIN,@,DEN,L 23-24,*,21,40,52.50,209,2,2,63.4,5.23,3.98,2,6,3.00,0,,0,0,0.0,0,0
45,2006,16,2006-12-31,27-004,CIN,,PIT,L 17-23,*,20,38,52.63,251,2,0,91.0,6.61,7.66,2,-3,-1.50,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
46,2007,1,2007-09-10,27-257,CIN,,BAL,W 27-20,*,20,32,62.50,194,2,0,100.3,6.06,7.31,3,0,0.00,0,,0,0,0.0,0,0
47,2007,2,2007-09-16,27-263,CIN,@,CLE,L 45-51,*,33,50,66.00,401,6,2,113.4,8.02,8.62,2,10,5.00,0,,0,0,0.0,0,0
48,2007,3,2007-09-23,27-270,CIN,@,SEA,L 21-24,*,27,43,62.79,342,1,2,75.9,7.95,6.33,1,-1,-1.00,0,,0,0,0.0,0,0
49,2007,4,2007-10-01,27-278,CIN,,NWE,L 13-34,*,21,35,60.00,234,1,2,65.7,6.69,4.69,0,0,,0,,0,0,0.0,0,0
50,2007,5,2007-10-14,27-291,CIN,@,KAN,L 20-27,*,26,43,60.47,320,2,2,79.6,7.44,6.28,1,2,2.00,0,,0,0,0.0,0,0
51,2007,6,2007-10-21,27-298,CIN,,NYJ,W 38-31,*,14,21,66.67,226,1,1,98.5,10.76,9.57,0,0,,0,,0,0,0.0,0,0
52,2007,7,2007-10-28,27-305,CIN,,PIT,L 13-24,*,23,31,74.19,205,1,0,102.2,6.61,7.26,1,2,2.00,0,,0,0,0.0,0,0
53,2007,8,2007-11-04,27-312,CIN,@,BUF,L 21-33,*,26,39,66.67,271,2,1,93.0,6.95,6.82,3,5,1.67,0,,0,0,0.0,0,0
54,2007,9,2007-11-11,27-319,CIN,@,BAL,W 21-7,*,23,34,67.65,271,0,0,91.7,7.97,7.97,2,-2,-1.00,0,,0,0,0.0,0,0
55,2007,10,2007-11-18,27-326,CIN,,ARI,L 27-35,*,37,52,71.15,329,2,4,68.5,6.33,3.63,2,-1,-0.50,0,,0,0,0.0,0,0
56,2007,11,2007-11-25,27-333,CIN,,TEN,W 35-6,*,32,38,84.21,283,3,1,113.0,7.45,7.84,0,0,,0,,0,0,0.0,0,0
57,2007,12,2007-12-02,27-340,CIN,@,PIT,L 10-24,*,17,44,38.64,183,0,0,51.6,4.16,4.16,2,-2,-1.00,0,,0,0,0.0,0,0
58,2007,13,2007-12-09,27-347,CIN,,STL,W 19-10,*,21,29,72.41,189,0,2,60.8,6.52,3.41,3,-3,-1.00,0,,0,0,0.0,0,0
59,2007,14,2007-12-15,27-353,CIN,@,SFO,L 13-20,*,19,31,61.29,252,1,0,97.8,8.13,8.77,2,1,0.50,0,,0,0,0.0,0,0
60,2007,15,2007-12-23,27-361,CIN,,CLE,W 19-14,*,11,21,52.38,115,1,2,44.8,5.48,2.14,0,0,,0,,0,0,0.0,0,0
61,2007,16,2007-12-30,28-003,CIN,@,MIA,W 38-25,*,23,32,71.88,316,3,1,121.4,9.88,10.34,2,-1,-0.50,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
62,2008,1,2008-09-07,28-255,CIN,@,BAL,L 10-17,*,9,24,37.50,94,0,1,32.3,3.92,2.04,3,15,5.00,0,,0,0,0.0,1,0
63,2008,2,2008-09-14,28-262,CIN,,TEN,L 7-24,*,16,27,59.26,134,0,2,41.3,4.96,1.63,0,0,,0,,0,0,0.0,0,0
64,2008,3,2008-09-21,28-269,CIN,@,NYG,L 23-26,*,27,39,69.23,286,1,0,98.9,7.33,7.85,3,23,7.67,0,,0,0,0.0,0,0
65,2008,5,2008-10-05,28-283,CIN,@,DAL,L 22-31,*,23,39,58.97,217,2,1,80.8,5.56,5.44,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
66,2009,1,2009-09-13,29-260,CIN,,DEN,L 7-12,*,21,33,63.64,247,0,2,61.0,7.48,4.76,1,2,2.00,0,,0,0,0.0,0,0
67,2009,2,2009-09-20,29-267,CIN,@,GNB,W 31-24,*,15,23,65.22,185,3,2,93.3,8.04,6.74,2,1,0.50,1,,1,6,0.0,0,0
68,2009,3,2009-09-27,29-274,CIN,,PIT,W 23-20,*,20,37,54.05,183,1,0,76.7,4.95,5.49,1,1,1.00,0,1,0,2,0.0,0,0
69,2009,4,2009-10-04,29-281,CIN,@,CLE,W 23-20,*,23,44,52.27,230,2,1,73.1,5.23,5.11,3,20,6.67,0,,0,0,0.0,0,0
70,2009,5,2009-10-11,29-288,CIN,@,BAL,W 17-14,*,18,31,58.06,271,1,1,84.2,8.74,7.94,5,18,3.60,0,,0,0,0.0,0,0
71,2009,6,2009-10-18,29-295,CIN,,HOU,L 17-28,*,23,35,65.71,259,1,1,85.3,7.40,6.69,1,2,2.00,0,,0,0,0.0,1,0
72,2009,7,2009-10-25,29-302,CIN,,CHI,W 45-10,*,20,24,83.33,233,5,0,146.7,9.71,13.88,0,0,,0,,0,0,0.0,0,0
73,2009,8,2009-11-08,29-316,CIN,,BAL,W 17-7,*,20,33,60.61,224,1,0,91.0,6.79,7.39,1,10,10.00,0,,0,0,0.0,0,0
74,2009,9,2009-11-15,29-323,CIN,@,PIT,W 18-12,*,18,30,60.00,178,0,0,76.8,5.93,5.93,5,-2,-0.40,0,,0,0,0.0,0,0
75,2009,10,2009-11-22,29-330,CIN,@,OAK,L 17-20,*,14,22,63.64,207,0,1,75.4,9.41,7.36,4,7,1.75,2,,2,12,0.0,0,0
76,2009,11,2009-11-29,29-337,CIN,,CLE,W 16-7,*,13,24,54.17,110,1,0,80.2,4.58,5.42,4,15,3.75,0,,0,0,0.0,0,0
77,2009,12,2009-12-06,29-344,CIN,,DET,W 23-13,*,17,29,58.62,220,1,2,65.3,7.59,5.17,5,7,1.40,0,,0,0,0.0,0,0
78,2009,13,2009-12-13,29-351,CIN,@,MIN,L 10-30,*,15,25,60.00,94,1,0,81.1,3.76,4.56,4,10,2.50,0,,0,0,0.0,0,0
79,2009,14,2009-12-20,29-358,CIN,@,SDG,L 24-27,*,27,40,67.50,314,2,1,97.3,7.85,7.73,1,0,0.00,0,1,0,2,0.0,0,0
80,2009,15,2009-12-27,30-000,CIN,,KAN,W 17-10,*,17,25,68.00,139,2,1,91.9,5.56,5.36,2,2,1.00,0,,0,0,0.0,0,0
81,2009,16,2010-01-03,30-007,CIN,@,NYJ,L 0-37,*,1,11,9.09,0,0,1,1.7,0.00,-4.09,0,0,,0,,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
82,2010,1,2010-09-12,30-259,CIN,@,NWE,L 24-38,*,34,50,68.00,345,2,1,92.5,6.90,6.80,4,9,2.25,0,,0,0,0.0,0,0
83,2010,2,2010-09-19,30-266,CIN,,BAL,W 15-10,*,16,35,45.71,167,0,0,60.1,4.77,4.77,3,-1,-0.33,0,,0,0,0.0,0,0
84,2010,3,2010-09-26,30-273,CIN,@,CAR,W 20-7,*,19,37,51.35,195,1,2,53.3,5.27,3.38,5,8,1.60,0,,0,0,0.0,0,0
85,2010,4,2010-10-03,30-280,CIN,@,CLE,L 20-23,*,25,36,69.44,371,2,0,121.4,10.31,11.42,1,0,0.00,0,,0,0,0.0,0,0
86,2010,5,2010-10-10,30-287,CIN,,TAM,L 21-24,*,21,36,58.33,209,2,3,58.7,5.81,3.17,1,3,3.00,0,,0,0,0.0,0,0
87,2010,6,2010-10-24,30-301,CIN,@,ATL,L 32-39,*,36,50,72.00,412,3,0,116.4,8.24,9.44,0,0,,0,,0,0,0.0,0,0
88,2010,7,2010-10-31,30-308,CIN,,MIA,L 14-22,*,17,38,44.74,156,2,1,63.0,4.11,3.97,3,13,4.33,0,,0,0,0.0,0,0
89,2010,8,2010-11-08,30-316,CIN,,PIT,L 21-27,*,22,36,61.11,248,2,1,88.7,6.89,6.75,0,0,,0,,0,0,0.0,0,0
90,2010,9,2010-11-14,30-322,CIN,@,IND,L 17-23,*,31,42,73.81,292,2,3,78.7,6.95,4.69,0,0,,0,,0,0,0.0,1,0
91,2010,10,2010-11-21,30-329,CIN,,BUF,L 31-49,*,19,34,55.88,230,2,2,71.9,6.76,5.29,2,12,6.00,0,,0,0,0.0,1,0
92,2010,11,2010-11-25,30-333,CIN,@,NYJ,L 10-26,*,17,38,44.74,135,1,2,41.0,3.55,1.71,2,5,2.50,0,,0,0,0.0,0,0
93,2010,12,2010-12-05,30-343,CIN,,NOR,L 30-34,*,23,33,69.70,249,1,0,101.7,7.55,8.15,0,0,,0,1,0,2,0.0,0,0
94,2010,13,2010-12-12,30-350,CIN,@,PIT,L 7-23,*,20,32,62.50,178,1,3,48.7,5.56,1.97,2,0,0.00,0,,0,0,0.0,0,0
95,2010,14,2010-12-19,30-357,CIN,,CLE,W 19-17,*,14,23,60.87,209,0,0,90.7,9.09,9.09,5,-1,-0.20,0,,0,0,0.0,0,0
96,2010,15,2010-12-26,30-364,CIN,,SDG,W 34-20,*,16,21,76.19,269,4,0,157.2,12.81,16.62,2,-1,-0.50,0,,0,0,0.0,0,0
97,2010,16,2011-01-02,31-006,CIN,@,BAL,L 7-13,*,32,45,71.11,305,1,2,78.5,6.78,5.22,2,3,1.50,0,,0,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
98,2011,7,2011-10-23,31-300,OAK,,KAN,L 0-28,,8,21,38.10,116,0,3,17.3,5.52,-0.90,0,0,,0,,0,0,0.0,0,0
99,2011,8,2011-11-06,31-314,OAK,,DEN,L 24-38,*,19,35,54.29,332,3,3,79.7,9.49,7.34,5,3,0.60,0,,0,0,0.0,0,0
100,2011,9,2011-11-10,31-318,OAK,@,SDG,W 24-17,*,14,20,70.00,299,2,1,125.0,14.95,14.70,3,-8,-2.67,0,,0,0,0.0,0,0
101,2011,10,2011-11-20,31-328,OAK,@,MIN,W 27-21,*,17,23,73.91,164,1,0,107.9,7.13,8.00,3,5,1.67,1,,1,6,0.0,0,0
102,2011,11,2011-11-27,31-335,OAK,,CHI,W 25-20,*,21,37,56.76,301,0,1,72.0,8.14,6.92,0,0,,0,,0,0,0.0,0,0
103,2011,12,2011-12-04,31-342,OAK,@,MIA,L 14-34,*,20,41,48.78,273,2,1,76.6,6.66,6.54,1,2,2.00,0,,0,0,0.0,0,0
104,2011,13,2011-12-11,31-349,OAK,@,GNB,L 16-46,*,24,42,57.14,247,1,4,42.6,5.88,2.07,2,12,6.00,0,,0,0,0.0,1,0
