
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
16,2013,16,2013-12-29,23-080,NYJ,@,MIA,W 20-7,*,17,27,62.96,190,0,0,83.9,7.04,7.04,10,44,4.40,1,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2014,1,2014-09-07,23-332,NYJ,,OAK,W 19-14,*,23,28,82.14,221,1,1,96.6,7.89,7.00,10,38,3.80,0,0,0,0,,0,0,0,0.0,0,0
18,2014,2,2014-09-14,23-339,NYJ,@,GNB,L 24-31,*,16,32,50.00,176,1,1,64.1,5.50,4.72,7,26,3.71,1,0,0,0,,0,1,6,0.0,0,0
19,2014,3,2014-09-22,23-347,NYJ,,CHI,L 19-27,*,26,43,60.47,316,1,2,71.5,7.35,5.72,3,20,6.67,0,0,0,0,,0,0,0,0.0,0,0
20,2014,4,2014-09-28,23-353,NYJ,,DET,L 17-24,*,17,33,51.52,209,1,1,68.9,6.33,5.58,4,4,1.00,0,0,0,0,,0,0,0,0.0,0,0
21,2014,5,2014-10-05,23-360,NYJ,@,SDG,L 0-31,*,4,12,33.33,27,0,1,7.6,2.25,-1.50,1,3,3.00,0,0,0,0,,0,0,0,0.0,0,0
22,2014,6,2014-10-12,24-002,NYJ,,DEN,L 17-31,*,23,43,53.49,190,2,1,70.9,4.42,4.30,2,11,5.50,0,0,0,0,,0,0,0,0.0,0,0
23,2014,7,2014-10-16,24-006,NYJ,@,NWE,L 25-27,*,20,34,58.82,226,1,0,88.6,6.65,7.24,7,37,5.29,0,0,0,0,,0,0,0,0.0,0,0
24,2014,8,2014-10-26,24-016,NYJ,,BUF,L 23-43,*,2,8,25.00,5,0,3,0.0,0.63,-16.25,1,0,0.00,0,0,0,0,,0,0,0,0.0,1,0
25,2014,11,2014-11-24,24-045,NYJ,@,BUF,L 3-38,,10,12,83.33,89,0,0,97.6,7.42,7.42,2,4,2.00,0,0,0,0,,0,0,0,0.0,0,0
26,2014,12,2014-12-01,24-052,NYJ,,MIA,L 13-16,*,7,13,53.85,65,0,1,35.7,5.00,1.54,4,19,4.75,0,0,0,0,,0,0,0,0.0,0,0
27,2014,13,2014-12-07,24-058,NYJ,@,MIN,L 24-30,*,18,29,62.07,254,1,1,87.4,8.76,7.90,6,33,5.50,0,0,0,0,,0,0,0,0.0,0,0
28,2014,14,2014-12-14,24-065,NYJ,@,TEN,W 16-11,*,16,28,57.14,179,1,0,88.2,6.39,7.11,4,16,4.00,0,0,0,0,,0,0,0,0.0,0,0
29,2014,15,2014-12-21,24-072,NYJ,,NWE,L 16-17,*,17,27,62.96,210,1,1,83.9,7.78,6.85,3,9,3.00,0,0,0,0,,0,0,0,0.0,0,0
30,2014,16,2014-12-28,24-079,NYJ,@,MIA,W 37-24,*,20,25,80.00,358,3,0,158.3,14.32,16.72,5,18,3.60,0,1,0,0,,0,0,0,0.0,1,0
,,,30 Games,,,,,11-19-0,,466,810,57.53,5571,25,34,71.5,6.88,5.61,131,604,4.61,7,2,1,13,13.00,0,7,42,0.0,2,0
