
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
55,2013,11,2013-11-17,25-173,SEA,,MIN,W 41-20,1,1,17,17.00,0,0,0,,0,1,58,58.00,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
56,2014,1,2014-09-04,26-099,SEA,,GNB,W 36-16,7,7,59,8.43,0,4,41,10.25,0,3,60,20.00,0,,0,0,0.0,0,0
57,2014,2,2014-09-14,26-109,SEA,@,SDG,L 21-30,1,1,5,5.00,0,2,45,22.50,1,3,68,22.67,0,,1,6,0.0,0,0
58,2014,3,2014-09-21,26-116,SEA,,DEN,W 26-20,9,7,42,6.00,0,0,0,,0,1,13,13.00,0,,0,0,0.0,1,0
59,2014,4,2014-10-06,26-131,SEA,@,WAS,W 27-17,5,4,27,6.75,0,2,7,3.50,0,0,0,,0,,0,0,0.0,0,0
60,2014,5,2014-10-12,26-137,SEA,,DAL,L 23-30,4,3,0,0.00,0,3,-1,-0.33,0,5,142,28.40,0,,0,0,0.0,0,0
61,2014,8,2014-10-26,26-151,NYJ,,BUF,L 23-43,9,3,22,7.33,0,4,28,7.00,0,6,144,24.00,0,,0,0,0.0,1,0
62,2014,9,2014-11-02,26-158,NYJ,@,KAN,L 10-24,13,11,129,11.73,0,1,8,8.00,0,2,88,44.00,0,,0,0,0.0,0,0
63,2014,10,2014-11-09,26-165,NYJ,,PIT,W 20-13,5,3,23,7.67,0,6,33,5.50,0,1,19,19.00,0,,0,0,0.0,0,0
64,2014,11,2014-11-24,26-180,NYJ,@,BUF,L 3-38,5,1,2,2.00,0,0,0,,0,5,83,16.60,0,,0,0,0.0,0,0
65,2014,12,2014-12-01,26-187,NYJ,,MIA,L 13-16,3,1,6,6.00,0,6,27,4.50,0,0,0,,0,,0,0,0.0,0,0
66,2014,13,2014-12-07,26-193,NYJ,@,MIN,L 24-30,9,6,124,20.67,1,2,3,1.50,0,4,109,27.25,0,,1,6,0.0,0,0
67,2014,14,2014-12-14,26-200,NYJ,@,TEN,W 16-11,3,0,0,,0,1,10,10.00,0,1,33,33.00,0,,0,0,0.0,0,0
68,2014,15,2014-12-21,26-207,NYJ,,NWE,L 16-17,5,4,44,11.00,0,2,1,0.50,0,1,19,19.00,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
69,2015,1,2015-09-13,27-108,BUF,,IND,W 27-14,5,5,79,15.80,1,1,9,9.00,0,0,0,,0,,1,6,0.0,0,0
70,2015,2,2015-09-20,27-115,BUF,,NWE,L 32-40,5,4,47,11.75,0,1,7,7.00,0,2,45,22.50,0,,0,0,0.0,0,0
71,2015,3,2015-09-27,27-122,BUF,@,MIA,W 41-14,8,7,66,9.43,0,2,16,8.00,0,0,0,,0,,0,0,0.0,0,0
72,2015,4,2015-10-04,27-129,BUF,,NYG,L 10-24,8,3,26,8.67,0,0,0,,0,2,39,19.50,0,,0,0,0.0,0,0
73,2015,5,2015-10-11,27-136,BUF,@,TEN,W 14-13,4,0,0,,0,1,-1,-1.00,0,1,24,24.00,0,,0,0,0.0,0,0
,,,73 Games,,,,,33-40-0,515,351,4020,11.45,22,145,916,6.32,5,152,4127,27.15,5,1,30,194,0.0,7,0
