
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
22,2010,12,2010-12-06,24-198,NWE,,NYJ,W 45-3,0,0,0,,0,0,0,,0,0,0,,0,1,13,13.00,0,,0,0,0.0,0,0
23,2010,13,2010-12-12,24-204,NWE,@,CHI,W 36-7,0,0,0,,0,0,0,,0,0,0,,0,2,43,21.50,0,,0,0,0.0,0,0
24,2010,14,2010-12-19,24-211,NWE,,GNB,W 31-27,1,0,0,,0,0,0,,0,0,0,,0,3,11,3.67,0,,0,0,0.0,0,0
25,2010,15,2010-12-26,24-218,NWE,@,BUF,W 34-3,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
26,2010,16,2011-01-02,24-225,NWE,,MIA,W 38-7,5,3,72,24.00,0,1,13,13.00,0,0,0,,0,4,112,28.00,1,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
27,2011,1,2011-09-12,25-113,NWE,@,MIA,W 38-24,2,1,9,9.00,0,0,0,,0,2,65,32.50,0,5,59,11.80,0,,0,0,0.0,0,0
28,2011,2,2011-09-18,25-119,NWE,,SDG,W 35-21,0,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,,0,0,0.0,0,0
29,2011,3,2011-09-25,25-126,NWE,@,BUF,L 31-34,3,1,5,5.00,0,2,3,1.50,0,3,63,21.00,0,3,31,10.33,0,,0,0,0.0,0,0
30,2011,4,2011-10-02,25-133,NWE,@,OAK,W 31-19,1,1,11,11.00,0,1,-1,-1.00,0,2,47,23.50,0,1,15,15.00,0,,0,0,0.0,0,0
31,2011,8,2011-11-06,25-168,NWE,,NYG,L 20-24,2,0,2,,0,0,0,,0,1,22,22.00,0,5,17,3.40,0,,0,0,0.0,0,0
32,2011,9,2011-11-13,25-175,NWE,@,NYJ,W 37-16,0,0,0,,0,0,0,,0,0,0,,0,1,16,16.00,0,,0,0,0.0,1,0
33,2011,10,2011-11-21,25-183,NWE,,KAN,W 34-3,0,0,0,,0,0,0,,0,0,0,,0,2,81,40.50,1,,0,6,0.0,1,0
34,2011,11,2011-11-27,25-189,NWE,@,PHI,W 38-20,0,0,0,,0,0,0,,0,0,0,,0,2,13,6.50,0,,0,0,0.0,2,1
35,2011,12,2011-12-04,25-196,NWE,,IND,W 31-24,0,0,0,,0,0,0,,0,2,48,24.00,0,2,15,7.50,0,,0,0,0.0,0,0
36,2011,13,2011-12-11,25-203,NWE,@,WAS,W 34-27,0,0,0,,0,0,0,,0,0,0,,0,2,18,9.00,0,,0,0,0.0,1,3
37,2011,14,2011-12-18,25-210,NWE,@,DEN,W 41-23,1,1,7,7.00,0,0,0,,0,0,0,,0,3,23,7.67,0,,0,0,0.0,0,0
38,2011,15,2011-12-24,25-216,NWE,,MIA,W 27-24,0,0,0,,0,0,0,,0,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0
39,2011,16,2012-01-01,25-224,NWE,,BUF,W 49-21,0,0,0,,0,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,4,1
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
40,2012,1,2012-09-09,26-110,NWE,@,TEN,W 34-13,2,1,7,7.00,0,0,0,,0,0,0,,0,3,27,9.00,0,,0,0,0.0,0,0
41,2012,2,2012-09-16,26-117,NWE,,ARI,L 18-20,6,5,50,10.00,0,0,0,,0,0,0,,0,2,25,12.50,0,,0,0,0.0,0,0
42,2012,3,2012-09-23,26-124,NWE,@,BAL,L 30-31,7,4,28,7.00,1,2,-5,-2.50,0,0,0,,0,1,11,11.00,0,,1,6,0.0,0,0
43,2012,7,2012-10-21,26-152,NWE,,NYJ,W 29-26,2,2,7,3.50,0,0,0,,0,1,6,6.00,0,0,0,,0,,0,0,0.0,0,0
44,2012,8,2012-10-28,26-159,NWE,@,STL,W 45-7,2,1,8,8.00,0,0,0,,0,0,0,,0,3,16,5.33,0,,0,0,0.0,0,0
45,2012,9,2012-11-11,26-173,NWE,,BUF,W 37-31,0,0,0,,0,0,0,,0,1,32,32.00,0,2,10,5.00,0,,0,0,0.0,0,0
46,2012,10,2012-11-18,26-180,NWE,,IND,W 59-24,7,5,58,11.60,1,1,47,47.00,0,0,0,,0,2,117,58.50,1,,1,12,0.0,0,0
47,2012,11,2012-11-22,26-184,NWE,@,NYJ,W 49-19,3,2,64,32.00,1,1,3,3.00,0,1,0,0.00,0,2,32,16.00,0,,1,12,0.0,0,0
48,2012,12,2012-12-02,26-194,NWE,@,MIA,W 23-16,3,1,13,13.00,0,0,0,,0,0,0,,0,2,25,12.50,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
49,2013,1,2013-09-08,27-109,NWE,@,BUF,W 23-21,9,7,79,11.29,2,0,0,,0,0,0,,0,3,32,10.67,0,,2,12,0.0,0,0
50,2013,2,2013-09-12,27-113,NWE,,NYJ,W 13-10,18,13,78,6.00,0,1,4,4.00,0,0,0,,0,6,72,12.00,0,,0,0,0.0,0,0
51,2013,3,2013-09-22,27-123,NWE,,TAM,W 23-3,7,7,44,6.29,0,0,0,,0,0,0,,0,2,29,14.50,0,,0,0,0.0,0,0
52,2013,4,2013-09-29,27-130,NWE,@,ATL,W 30-23,9,7,118,16.86,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2013,5,2013-10-06,27-137,NWE,@,CIN,L 6-13,7,2,35,17.50,0,1,7,7.00,0,0,0,,0,4,43,10.75,0,,0,0,0.0,0,0
54,2013,6,2013-10-13,27-144,NWE,,NOR,W 30-27,11,5,57,11.40,0,0,0,,0,0,0,,0,3,9,3.00,0,,0,0,0.0,0,0
55,2013,7,2013-10-20,27-151,NWE,@,NYJ,L 27-30,7,5,44,8.80,0,0,0,,0,0,0,,0,3,58,19.33,0,,0,0,0.0,0,0
56,2013,8,2013-10-27,27-158,NWE,,MIA,W 27-17,2,2,7,3.50,0,0,0,,0,0,0,,0,3,13,4.33,0,,0,0,0.0,0,0
57,2013,9,2013-11-03,27-165,NWE,,PIT,W 55-31,4,1,11,11.00,0,0,0,,0,0,0,,0,2,43,21.50,0,,0,0,0.0,0,0
58,2013,10,2013-11-18,27-180,NWE,@,CAR,L 20-24,4,3,27,9.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
59,2013,11,2013-11-24,27-186,NWE,,DEN,W 34-31,11,9,110,12.22,2,0,0,,0,0,0,,0,3,39,13.00,0,,2,12,0.0,0,0
60,2013,12,2013-12-01,27-193,NWE,@,HOU,W 34-31,12,9,101,11.22,0,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
61,2013,13,2013-12-08,27-200,NWE,,CLE,W 27-26,9,6,64,10.67,1,0,0,,0,0,0,,0,2,7,3.50,0,1,1,8,0.0,0,0
62,2013,14,2013-12-15,27-207,NWE,@,MIA,L 20-24,19,13,139,10.69,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
63,2013,15,2013-12-22,27-214,NWE,@,BAL,W 41-7,11,7,77,11.00,0,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
64,2013,16,2013-12-29,27-221,NWE,,BUF,W 34-20,11,9,65,7.22,0,0,0,,0,0,0,,0,2,7,3.50,0,1,0,2,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
65,2014,1,2014-09-07,28-108,NWE,@,MIA,L 20-33,8,6,95,15.83,0,2,21,10.50,0,0,0,,0,2,15,7.50,0,,0,0,0.0,0,0
66,2014,2,2014-09-14,28-115,NWE,@,MIN,W 30-7,7,6,81,13.50,1,1,9,9.00,0,0,0,,0,4,66,16.50,0,,1,6,0.0,0,0
67,2014,3,2014-09-21,28-122,NWE,,OAK,W 16-9,13,10,84,8.40,0,1,5,5.00,0,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0
68,2014,4,2014-09-29,28-130,NWE,@,KAN,L 14-41,8,4,23,5.75,0,0,0,,0,0,0,,0,2,10,5.00,0,,0,0,0.0,2,0
69,2014,5,2014-10-05,28-136,NWE,,CIN,W 43-17,8,5,35,7.00,0,0,0,,0,0,0,,0,3,12,4.00,0,,0,0,0.0,0,0
70,2014,6,2014-10-12,28-143,NWE,@,BUF,W 37-22,12,9,91,10.11,0,1,10,10.00,0,0,0,,0,3,12,4.00,0,,0,0,0.0,0,0
71,2014,7,2014-10-16,28-147,NWE,,NYJ,W 27-25,9,4,44,11.00,0,1,8,8.00,0,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0
72,2014,8,2014-10-26,28-157,NWE,,CHI,W 51-23,4,1,14,14.00,0,0,0,,0,0,0,,0,1,42,42.00,0,,0,0,0.0,0,0
73,2014,9,2014-11-02,28-164,NWE,,DEN,W 43-21,10,9,89,9.89,1,0,0,,0,0,0,,0,1,84,84.00,1,,1,12,0.0,1,0
74,2014,10,2014-11-16,28-178,NWE,@,IND,W 42-20,8,5,50,10.00,0,2,31,15.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
75,2014,11,2014-11-23,28-185,NWE,,DET,W 34-9,15,11,89,8.09,0,0,0,,0,0,0,,0,2,11,5.50,0,,0,0,0.0,1,0
76,2014,12,2014-11-30,28-192,NWE,@,GNB,L 21-26,10,7,48,6.86,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
77,2014,13,2014-12-07,28-199,NWE,@,SDG,W 23-14,12,8,141,17.63,1,1,4,4.00,0,0,0,,0,3,20,6.67,0,,1,6,0.0,0,0
78,2014,14,2014-12-14,28-206,NWE,,MIA,W 41-13,10,7,88,12.57,1,1,6,6.00,0,0,0,,0,2,17,8.50,0,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
