
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
52,2013,4,2013-09-29,26-134,TAM,,ARI,L 10-13,6,4,38,9.50,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
53,2013,6,2013-10-20,26-155,TAM,@,ATL,L 23-31,5,4,32,8.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
54,2013,7,2013-10-24,26-159,TAM,,CAR,L 13-31,6,3,20,6.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
55,2014,1,2014-09-07,27-112,BUF,@,CHI,W 23-20,3,2,36,18.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
56,2014,2,2014-09-14,27-119,BUF,,MIA,W 29-10,3,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
57,2014,3,2014-09-21,27-126,BUF,,SDG,L 10-22,4,2,11,5.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
58,2014,4,2014-09-28,27-133,BUF,@,HOU,L 17-23,6,2,84,42.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
59,2014,5,2014-10-05,27-140,BUF,@,DET,W 17-14,2,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
60,2014,7,2014-10-19,27-154,BUF,,MIN,W 17-16,,,,,,,,,,,,,,,,,,,,,,,
61,2014,8,2014-10-26,27-161,BUF,@,NYJ,W 43-23,,,,,,,,,,,,,,,,,,,,,,,
62,2014,10,2014-11-13,27-179,BUF,@,MIA,L 9-22,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
63,2014,11,2014-11-24,27-190,BUF,,NYJ,W 38-3,,,,,,,,,,,,,,,,,,,,,,,
,,,63 Games,,,,,27-36-0,438,223,3089,13.85,26,1,3,3.00,0,1,1,100.00,28,0,0,118.7,28.00,28.00,26,156,0.0,8,0
